45515830,-92461712,1
44341602,-89526303,0
45532944,-90281660,1
42727153,-87675979,1
43501783,-90706816,1
42614273,-89233129,0
45409130,-91423051,1
43459884,-89931931,1
45832746,-91014362,1
44796040,-88898362,1
43662704,-87930254,1
45330939,-90401519,1
44443778,-91285758,1
43653701,-90841723,1
46061297,-89485834,1
42607688,-88623745,1
45966368,-91886372,1
43422223,-88195862,1
42951630,-88296321,1
44461926,-88915027,1
44168882,-89223228,1
44124886,-88745129,1
44388082,-89922751,1
41271207,-105486538,1
44601118,-107788860,1
43761422,-105520135,1
41716940,-106999195,1
42780251,-105871922,1
44352274,-104420625,1
43191539,-108009659,1
42088115,-104354049,1
43775844,-108383949,1
44497609,-106870963,1
41277286,-104205462,1
43030327,-110884515,1
42966192,-106807047,1
42703263,-104140785,1
44463071,-109415501,1
42321218,-104722426,1
44753413,-106694907,1
42785695,-110186599,1
41764300,-108968062,1
43443851,-110694002,0
41099266,-110500655,1